        Condition  OpTypeLeft  CW_Left  OpTypeRight  CW_Right
    0:      0          0         0           0            0
    1:      0          1         1           0            0
    2:      0          1         2           0            0
    3:      0          1         3           0            0
    4:      0          3         0           0            0
    5:      0          3         0           0            0
    6:      0          3         0           0            0
    7:      0          3         0           0            0
    8:      0          1         0           0            0
    9:      0          1         1           0            0
   10:      0          1         2           0            0
   11:      0          1         3           0            0
   12:      0          1         4           0            0
   13:      0          1         5           0            0
   14:      0          1         6           0            0
   15:      0          1         7           0            0
   16:      0          1         8           0            0
   17:      0          1         9           0            0
   18:      0          1        10           0            0
   19:      0          1        11           0            0
   20:      0          1        12           0            0
   21:      0          1        13           0            0
   22:      0          1        14           0            0
   23:      0          1        15           0            0
   24:      0          1        16           0            0
   25:      0          1        17           0            0
   26:      0          1        18           0            0
   27:      0          1        19           0            0
   28:      0          1        20           0            0
   29:      0          1        21           0            0
   30:      0          1        22           0            0
   31:      0          1        23           0            0
   32:      0          1        24           0            0
   33:      0          1        25           0            0
   34:      0          1        26           0            0
   35:      0          1        27           0            0
   36:      0          1        28           0            0
   37:      0          1        29           0            0
   38:      0          1        30           0            0
   39:      0          1        31           0            0
   40:      0          1        85           0            0
   41:      2          1       170           0            0
   42:      0          1       255           0            0
   43:      0          1        43           0            0
   44:      0          1        44           0            0
   45:      0          1        45           0            0
   46:      0          1        46           0            0
   47:      0          1        47           0            0
   48:      0          1        48           0            0
   49:      0          1        49           0            0
   50:      0          1        50           0            0
   51:      0          1        51           0            0
   52:      0          1        52           0            0
   53:      0          1        53           0            0
   54:      0          1        54           0            0
   55:      0          1        55           0            0
   56:      0          1        56           0            0
   57:      0          1        57           0            0
   58:      0          1        58           0            0
   59:      0          1        59           0            0
   60:      0          1        60           0            0
   61:      0          1        61           0            0
   62:      0          1        62           0            0
   63:      0          1        63           0            0
   64:      0          1        64           0            0
   65:      0          1        65           0            0
   66:      0          1        66           0            0
   67:      0          1        67           0            0
   68:      0          1        68           0            0
   69:      0          1        69           0            0
   70:      0          1        70           0            0
   71:      0          1        71           0            0
   72:      0          1        72           0            0
   73:      0          1        73           0            0
   74:      0          1        74           0            0
   75:      0          1        75           0            0
   76:      0          1        76           0            0
   77:      0          1        77           0            0
   78:      0          1        78           0            0
   79:      0          1        79           0            0
   80:      0          1        80           0            0
   81:      0          1        81           0            0
   82:      0          1        82           0            0
   83:      0          1        83           0            0
   84:      0          1        84           0            0
   85:      0          1        85           0            0
   86:      0          1        86           0            0
   87:      0          1        87           0            0
   88:      0          1        88           0            0
   89:      0          1        89           0            0
   90:      0          1        90           0            0
   91:      0          1        91           0            0
   92:      0          1        92           0            0
   93:      0          1        93           0            0
   94:      0          1        94           0            0
   95:      0          1        95           0            0
   96:      0          1        96           0            0
   97:      0          1        97           0            0
   98:      0          1        98           0            0
   99:      0          1        99           0            0
  100:      0          1       100           0            0
  101:      0          1       101           0            0
  102:      0          1       102           0            0
  103:      0          1       103           0            0
  104:      0          1       104           0            0
  105:      0          1       105           0            0
  106:      0          1       106           0            0
  107:      0          1       107           0            0
  108:      0          1       108           0            0
  109:      0          1       109           0            0
  110:      0          1       110           0            0
  111:      0          1       111           0            0
  112:      0          1       112           0            0
  113:      0          1       113           0            0
  114:      0          1       114           0            0
  115:      0          2         1           0            0
  116:      0          2         2           0            0
  117:      0          2         3           0            0
  118:      0          2         4           0            0
  119:      0          2         5           0            0
  120:      0          2         6           0            0
  121:      0          2         7           0            0
  122:      0          1       255           0            0
  123:      0          1       126           0            0
  124:      0          1         4           0            0
  125:      0          1         5           0            0
  126:      0          1         6           0            0
  127:      0          1         7           0            0
  128:      0          2         0           2            0
  129:      0          2         1           2            1
  130:      0          2         2           2            2
  131:      0          2         3           2            3
  132:      0          2         4           2            4
  133:      0          2         5           2            5
  134:      0          2         6           2            6
  135:      0          2         7           2            7
  136:      0          2         2           2            6
  137:      0          2         3           2            7
  138:      0          2         4           2            1
  139:      0          2         5           2            2
  140:      0          2         6           2            3
  141:      0          2         7           2            4
  142:      0          2         1           2            5
  143:      0          2         2           2            6
  144:      0          2         3           2            7
  145:      0          2         4           2            1
  146:      0          2         5           2            2
  147:      0          2         6           2            3
  148:      0          2         7           2            4
  149:      0          2         1           2            5
  150:      0          2         2           2            6
  151:      0          2         3           2            7
  152:      0          2         4           2            1
  153:      0          2         5           2            2
  154:      0          2         6           2            3
  155:      0          2         7           2            4
  156:      0          2         1           2            5
  157:      0          2         2           2            6
  158:      0          2         3           2            7
  159:      0          2         4           2            1
  160:      0          2         5           2            2
  161:      0          2         6           2            3
  162:      0          2         7           2            4
  163:      0          2         1           2            5
  164:      0          2         2           2            6
  165:      0          2         3           2            7
  166:      0          2         4           2            1
  167:      0          2         5           2            2
  168:      0          2         6           2            3
  169:      0          2         7           2            4
  170:      0          2         1           2            5
  171:      0          2         2           2            6
  172:      0          2         3           2            7
  173:      0          2         4           2            1
  174:      0          2         5           2            2
  175:      0          2         6           2            3
  176:      0          2         7           2            4
  177:      0          2         1           2            5
  178:      0          2         2           2            6
  179:      0          2         3           2            7
  180:      0          2         4           2            1
  181:      0          2         5           2            2
  182:      0          2         6           2            3
  183:      0          2         7           2            4
  184:      0          2         1           2            5
  185:      0          2         2           2            6
  186:      0          2         3           2            7
  187:      0          2         4           2            1
  188:      0          2         5           2            2
  189:      0          2         6           2            3
  190:      0          2         7           2            4
  191:      0          2         1           2            5
  192:      0          2         2           2            6
  193:      0          2         3           2            7
  194:      0          2         4           2            1
  195:      0          2         5           2            2
  196:      0          2         6           2            3
  197:      0          2         7           2            4
  198:      0          2         1           2            5
  199:      0          2         2           2            6
  200:      0          2         3           2            7
  201:      0          2         4           2            1
  202:      0          2         5           2            2
  203:      0          2         6           2            3
  204:      0          2         7           2            4
  205:      0          2         1           2            5
  206:      0          2         2           2            6
  207:      0          2         3           2            7
  208:      0          2         4           2            1
  209:      0          2         5           2            2
  210:      0          2         6           2            3
  211:      0          2         7           2            4
  212:      0          2         1           2            5
  213:      0          2         2           2            6
  214:      0          2         3           2            7
  215:      0          2         4           2            1
  216:      0          2         5           2            2
  217:      0          2         6           2            3
  218:      0          2         7           2            4
  219:      0          2         1           2            5
  220:      0          2         2           2            6
  221:      0          2         3           2            7
  222:      0          2         4           2            1
  223:      0          2         5           2            2
  224:      0          2         6           2            3
  225:      0          2         7           2            4
  226:      0          2         1           2            5
